ID,Title,Year,IMDb,Genres,Runtime
279,Public Enemies,2009,7,"Biography,Crime,Drama,History",140
280,Supersonic,2016,7.9,"Documentary,Biography,Music",122
281,The Edge of Democracy,2019,7.1,"Documentary,History",121
282,The Polar Express,2004,6.6,"Animation,Adventure,Comedy,Family,Fantasy,Musical",100
283,Under the Skin,2014,6.3,"Drama,Horror,Sci-Fi,Thriller",108
284,Crip Camp: A Disability Revolution,2020,7.8,Documentary,106
285,Tell Me Who I Am,2019,7.6,"Documentary,Drama,Mystery",85
286,Hey Arnold! The Jungle Movie,2017,7.6,"Animation,Adventure,Comedy,Family,Fantasy",81
287,Zack and Miri Make a Porno,2008,6.5,"Comedy,Romance",101
288,The Score,2001,6.8,"Crime,Drama,Thriller",124
289,Hamburger Hill,1987,6.7,"Action,Drama,Thriller,War",110
290,9,2009,7.1,"Animation,Action,Adventure,Drama,Family,Horror,Mystery,Sci-Fi",79
291,Undefeated,2011,7.7,"Documentary,Sport",113
292,Team Foxcatcher,2016,7.3,"Documentary,Biography,Crime,History,Sport",90
293,A Shaun the Sheep Movie: Farmageddon,2019,6.9,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",86
294,April and the Extraordinary World,2015,7.3,"Animation,Adventure,Comedy,Drama,Family,Mystery,Sci-Fi,Thriller",105
295,The Highwaymen,2019,6.9,"Biography,Crime,Drama,Mystery,Thriller",132
296,Legend,2015,6.9,"Biography,Crime,Drama,Thriller",132
297,Boy & the World,2014,7.6,"Animation,Adventure,Family",80
298,Creep 2,2017,6.4,"Horror,Thriller",78
299,Terminator 3: Rise of the Machines,2003,6.3,"Action,Sci-Fi",109
300,Unrest,2017,7.7,"Horror,Thriller",88
301,Guru,2007,7.7,"Biography,Drama",166
302,Louis C.K. 2017,2017,7.6,Comedy,74
303,A Twelve-Year Night,2018,7.6,"Biography,Crime,Drama,History",122
304,Happy as Lazzaro,2018,7.6,"Drama,Fantasy",128
305,"What Happened, Miss Simone?",2015,7.6,"Documentary,Biography,Music",101
306,Blue Jay,2016,7.3,"Drama,Romance",80
307,1922,2017,6.3,"Crime,Drama,Horror,Mystery,Thriller",102
308,Hancock,2008,6.4,"Action,Fantasy",92
309,Circus of Books,2019,7.1,"Documentary,Biography",92
310,"Hail, Caesar!",2016,6.3,"Comedy,Drama,Music,Mystery",106
311,The Pixar Story,2007,7.8,Documentary,88
312,Child's Play,1988,6.6,"Horror,Sci-Fi",90
313,Springsteen On Broadway,2018,8.5,"Documentary,Music",153
314,The Angry Birds Movie 2,2019,6.4,"Animation,Adventure,Comedy,Family",97
315,Obvious Child,2014,6.8,"Comedy,Drama,Romance",84
316,Awe!,2018,7.8,Thriller,150
317,American Honey,2016,7,"Drama,Romance",163
318,Last Breath,2019,7.7,Documentary,90
319,Udta Punjab,2016,7.8,"Action,Crime,Drama",148
320,Den of Thieves,2018,7,"Action,Crime,Drama,Mystery,Thriller",140
321,Wadjda,2012,7.5,"Comedy,Drama",98
322,The Spiderwick Chronicles,2008,6.5,"Action,Adventure,Drama,Family,Fantasy",96
323,The Christmas Chronicles,2018,7.1,"Adventure,Comedy,Family,Fantasy",104
324,Turbo,2013,6.4,"Animation,Adventure,Comedy,Family,Sci-Fi,Sport",96
325,My Girl,1991,6.9,"Comedy,Drama,Family,Romance",102
326,22-Jul,2018,6.8,"Crime,Drama,History,Thriller",143
327,Adam Sandler: 100% Fresh,2018,7.6,"Comedy,Music",73
328,Remember,2015,7.5,"Drama,Mystery,Thriller",94
329,Triple Frontier,2019,6.4,"Action,Adventure,Crime,Drama,Thriller",125
330,Bombshell: The Hedy Lamarr Story,2018,7.4,"Documentary,Biography,History,War",88
331,Paddleton,2019,7.2,"Comedy,Drama",89
332,Bad Boys II,2003,6.6,"Action,Comedy,Crime,Thriller",147
333,Sour Grapes,2016,7.3,Comedy,91
334,Betting on Zero,2017,7.2,Documentary,99
335,Delhi Belly,2011,7.5,"Action,Comedy,Crime",103
336,Being Elmo: A Puppeteer's Journey,2011,7.6,Documentary,80
337,Williams,2017,7.6,"Documentary,Biography,Sport",109
338,It Comes at Night,2017,6.2,"Horror,Mystery",91
339,Cuba and the Cameraman,2017,8.2,Documentary,113
340,Creep,2014,6.3,"Horror,Thriller",77
341,The Interview,2014,6.5,"Action,Adventure,Comedy",112
342,Bobby Robson: More Than a Manager,2018,8.2,"Documentary,Sport",104
343,Outbreak,1995,6.6,"Action,Drama,Thriller",127
344,Black Snake Moan,2006,6.9,"Drama,Music",116
345,Bright,2017,6.3,"Action,Fantasy,Thriller",117
346,Cargo,2017,6.3,"Drama,Horror,Sci-Fi,Thriller",105
347,Even the Rain,2010,7.4,"Drama,History",103
348,Candyman,1992,6.6,"Horror,Thriller",99
349,Mary and the Witch's Flower,2017,6.8,"Animation,Adventure,Family,Fantasy",103
350,Calibre,2018,6.7,"Drama,Thriller",101
351,First They Killed My Father,2017,7.2,"Biography,Drama,History,War",136
352,Us and Them,2018,7.3,"Drama,Romance",120
353,Up in Smoke,1978,7,"Comedy,Music",86
354,Final Destination,2000,6.7,"Horror,Thriller",98
