Acts of God,Ted Steinberg,History,3.74,99,2006
The Oxford Handbook of Philosophy of Mathematics and Logic,Stewart Shapiro,Mathematics,4.25,19,2007
Aristophanes' Peace,Aristophanes;S. Douglas Olson,Drama,3.58,243,1998
Lysistrata,Aristophanes;Jeffrey Henderson,Literary Criticism,3.85,76,1990
A Midsummer Night's Dream,William Shakespeare,Juvenile Nonfiction,3.94,14,2001
Julius Caesar,William Shakespeare,Juvenile Nonfiction,3.67,133575,2001
King Lear,William Shakespeare,Juvenile Nonfiction,3.9,268,2002
Macbeth,William Shakespeare,Juvenile Nonfiction,3.89,150,2004
Much Ado about Nothing,William Shakespeare,Juvenile Nonfiction,4.06,37,2004
The Oxford Dictionary of Quotations,Oxford University Press;TME.,Reference,4.17,37,1999
The Canterbury Tales,Helen Cooper,Literary Criticism,4.01,83,1996
Medieval Philosophy : A New History of Western Philosophy Volume 2,Anthony Kenny,Philosophy,3.85,128,2005
Contemporary Political Philosophy,Will Kymlicka,Philosophy,3.98,575,2002
Clouds,Aristophanes,Drama,3.76,13,1970
The Major Works,Alexander Pope,Poetry,3.88,207,2006
Power Sex Suicide,Nick Lane,Science,4.24,2110,2006
The Oxford Companion to Philosophy,Ted Honderich,Philosophy,4.14,49,2005
The Church in Ancient Society,Henry Chadwick,Religion,4.21,14,2003
William Shakespeare: The Complete Works,William Shakespeare,Drama,4.62,488,2005
East and West: The Making of a Rift in the Church,Henry Chadwick,Religion,3.88,4,2005
An Introduction to Political Philosophy,Jonathan Wolff,Philosophy,4.11,703,2006
Thermodynamics Kinetic Theory and Statistical Thermodynamics,Francis Weston Sears;Gerhard Ludwig Salinger,Kinetic theory of gases,4.32,38,1975
Six Easy Pieces,Richard P. Feynman,Science,4.2,160,1996
Robin Williams Web Design Workshop,John Tollett;Robin Williams;David Rohr,Computers,3.78,51,2002
The Actor in You,Robert L. Benedetti,Performing Arts,3.7,5,2005
It's Not about the Bike,Lance Armstrong;Sally Jenkins,Cancer,3.72,473,2001
Non-Fiction,Chuck Palahniuk,Curiosities and wonders,3.57,212,2004
Every Second Counts,Lance Armstrong;Sally Jenkins,Cancer,3.52,270,2004
Quimby the Mouse,Chris Ware,Graphic novels,4.09,1396,2003
The Crescent Obscured,Robert Allison,History,3.6,32,2000
The Bridge on the Drina,Ivo Andríc,Fiction,4.33,8401,1977
Love and Saint Augustine,Hannah Arendt;Joanna Vecchiarelli Scott;Judith Chelius Stark,Family & Relationships,3.92,89,1996
Plato's Symposium,Plato;Seth Benardete,Philosophy,4.03,501,2001
Philosophy in a Time of Terror,Jürgen Habermas;Giovanna Borradori;Jacques Derrida,History,3.89,428,2004
A Preface to Democratic Theory Expanded Edition,Robert A. Dahl,Political Science,3.62,88,2006
Lost Prophet,John D'Emilio,Biography & Autobiography,4.19,568,2004
The Work of Mourning,Jacques Derrida,Literary Criticism,4.22,163,2003
History of Religious Ideas Volume 3,Mircea Eliade,Religion,4.43,406,1988
Bengal Nights,Mircea Eliade,Fiction,3.93,245,1995
The Complete Tales of Nikolai Gogol,Nikolai Gogol;Николай Васильевич Гоголь,Fiction,4.32,299,1985
Love Sex & Tragedy,Simon Goldhill,History,3.76,120,2005
Complete Greek Tragedies,David Grene;Richmond Lattimore,,4.11,75,1942
Greek tragedies,Sophocles;Aeschylus;Euripides,Drama,4.14,33,1992
The Complete Greek Tragedies: Euripides,Aeschylus;Sophocles;Euripides,Drama,4.48,46,1992
Greek Tragedies,David Grene;Richmond Lattimore,Literary Criticism,4.28,315,1960
Oresteia,Esquilo;Aeschylus,Erinyes (Greek mythology),4.01,688,1953
Euripides I,Euripides,Greek drama (Tragedy),4.03,4482,1955
The Complete Greek Tragedies,David Grene;Richmond Lattimore,,4.14,4952,1973
Aeschylus: The suppliant maidens,Aeschylus;David Grene,Drama,4.1,382,1991
Billy Budd Sailor,Herman Melville,Fiction,3.11,219,1962
Gilgamesh Epic and Old Testament Parallels,Alexander Heidel,Religion,3.97,57,1949
Works of Hesiod and the Homeric Hymns,Hesiod,Poetry,3.72,32,2005
The Progressive Historians--Turner Beard Parrington,Richard Hofstadter,History,3.86,34,1979
The Collaborator,Alice Kaplan,History,3.84,67,2001
Heat Wave,Eric Klinenberg,History,3.84,674,2003
Moral Politics,George Lakoff,Language Arts & Disciplines,4.03,1215,2002
A River Runs Through It,Norman Maclean,Biography & Autobiography,4.17,5885,1989
Young Men and Fire,Norman Maclean,Biography & Autobiography,4.07,4148,1993
Antitrust Law Second Edition,Richard A. Posner,Law,4,33,2001
A Dance to the Music of Time,Anthony Powell,Fiction,3.95,3680,1995
Mystical Poems of Rumi Translated,Jalāl al-Dīn Rūmī (Maulana);A. J. Arberry,,4.32,112,1968
The Family Idiot,Jean-Paul Sartre,Biography & Autobiography,3.8,5,1981
History of Political Philosophy,Leo Strauss;Joseph Cropsey,Philosophy,4.18,424,1987
From Counterculture to Cyberculture,Fred Turner,Social Science,3.96,323,2006
Genetics and the Origin of Species,Theodosius Dobzhansky,Science,4.15,24,1982
